sentiment	productId	userId	summary	text	helpfulY	helpfulN
-1	B0051TPWUI	ABK0KJL19GKJ0	Too much sugar - big time headache!	These gave me a headache, too much sugar, and other ingredients that didn't sit well.  I would not recommend to someone trying to eat healthier.	1	1
1	B000ER1DIM	A14I86SK59DIX	organic honey grahams	I bought these for my  grandbabies because they are earths best and organic. They like them,but not as well as the cinnamon ones. I tried them,thought they tasted kind of like dirt.	0	0
1	B005GGV19C	A2AUDU9Q784RVB	Great  Treat	My brother and I were talking about candy that we enjoyed as children.  I bought the Chuckles Theater boxes as a gift for him. Moist, tasty and there's plenty to share. The quantity may be too much for some, but they always have a houseful of kids watching movies and eating snacks.  This is a great movie treat for all ages at a good value.	0	0
1	B000CC9V42	A2QN0Z7A61PZUK	great gift	gave these as a gift to my brother. we are both fans of hot sauces so i thought i'd give this a try.  the wooden packaging looked nice and was sturdy enough that it could be used for storage/transport of the sauces.<br />my brother says that he liked the sauces, he would not share with me on chirstmas day so i never got a chance to try them.	0	0
1	B00139TT72	A3MNH3W8069TAT	My picky dog LOVES this stuff!	I have a 11 yr old Pomimo (1/2 Pomeranian, 1/2 American Eskimo) who seems to only like human food. Although I'd love to give him human food all the time, I know it's not good for his digestive system, and it doesn't have the proper nutrients required for a dog, especially at his current age. Upon trying various brands including Blue and Call of the Wild, I couldn't justify the price in comparison to how little my dog liked the taste. After reading some positive reviews here on Amazon for Newman's, I decided to give it a go. Surprisingly, my dog started eating the food immediately after I poured some into his dish. He never does that with other dry dog food, and usually waits to eat after I've given him a nibble of everything that I eat during the day. What makes it even better is the reasonable price for the quality. Yes, I understand that organic and quality US-made food are naturally more expensive, however some of the brands charge double of Newman's and provide only half the taste. As humans, we're usually sold by the nutritious & wholesome advertisements when buying dog food, however I think its pretty important for my dog to actually like the taste of the food also. Newman's seems to be the ticket for both nutrition and taste. Will be buying Newman's as a regular!	0	0
1	B000KFXEYE	AFOA99PIZ8BT6	Liquid Heaven	Stephen's is absolutely the BEST hot chocolate I have ever tasted!  It is so creamy and delicious.  Every flavor I've ever tried is excellent.  My whole family loves it.  I don't know any stores in the area that sell it, so we are thrilled to be able to order it through Amazon.	1	1
-1	B0040WHJQM	A2BAAT255L3YUP	HORRIBLE.	I read the reviews for this product and had high hopes for a healthy, decent tasting cup of noodles. Needless to say I found this not to be true. First, the consistency is gross and second, the taste is awful. Maybe I am just not accustomed to eating crap. Think twice before ordering this product. I wish I did.	1	4
1	B004WM0ZTS	AMG95ODDX3Q8Z	Great fast way to get good coffee	"I am a self proclaimed coffee guy. I enjoy chatting about coffee with the manager of my local Starbucks. I also have my own burr grinder, French press, espresso maker and 2 drip coffee makers (2 cup and 12 cup). So where does VIA fit into my coffee life? I typically use a VIA packet when I want a quick cup of coffee and don't want to take the time or effort to brew a pot (12 cup or 2 cup coffee makes).<br />Pros:<br />* Fast and convenient.<br />* Taste great for an instant coffee - it is not quite as good as fresh brewed but remarkably better than other instant coffee.<br />Cons:<br />* It is expensive. So watch the price on Amazon it will vary greatly over time. I tell my wife we are not ""Pay the full price people"". Put the item in your cart and then if u have time check your cart daily for a while. (I do this for all Amazon purchases since the price does really fluctuate for most items). For VIA I have found that watching it can save me 50% or more on Amazon - the price of this item locally never changes much.<br />* It is not the same as good brewed coffee. Don't expect this to be the same as fresh brewed coffee - all else constant (I.e. filtered water etc.)"	1	0
-1	B000H27K86	AZM08HKKZ03NU	Dissappointed!!! WILL NEVER BUY AGAIN!!!	I bought this seasoning because Amazon stopped selling the 12 count Konriko cajun seasoning so this was the one they had in a 12 count.  I bought it thinking it would be similar to the Konriko, BOY WAS I WRONG!!!<br /><br />First of all like another reviewer said some of the ingredients are as follows:  hydrolyzed soy protein, and Partially hydrogenated cottonseed and soy bean oil.  I was completely stumped as to why these two ingredients were necessary in a spice blend mix.  Now I know why with the hydrolyzed soy protein; as the other reviewer stated it's a industry way of adding MSG.  Well why in the world do we need that and what's up with the HYDROGENATED SOY BEAN AND COTTONSEED OIL!!!!  BESIDE IT BEING BAD FOR YOUR HEALTH IT CAUSES THE PRODUCT TO CAKE AND CLUMP.  I steer clear of products with hydrogenated oils in them.  An even though this may not have many trans fat an accumulation over time is what makes this deceptively bad for your health.  When I purchased this last year they did not have the ingredients listed in the description, now it is.  I think that AMAZON as a regular practice should require all food products/company's to list the ingredients of their product to sell on their site.  WHY WAIT UNTIL THE CUSTOMER PURCHASE IT TO FIND OUT???!!!  I don't think this is a customer friendly practice!!!!<br /><br />Not a good buy IMO.  I found my Konriko at another site and will be purchasing it from there; unless AMAZON brings it back at a 12 count offer; otherwise to buy one at $8 and $4.99 s/h is just way over priced and highway robbery!!!!	0	0
1	B006N3IG4K	A1GZVRXW89KZST	Perfect every day coffee.	I have tried many different k-cups and this has remained my favorite for the longest time. It is the perfect balance, not too weak and not too bold. And since I usually drink my coffee black, the flavor alone is very important to me. It' has a great flavor and not too acidic.	0	0
1	B000LKZTSC	A2YXK01X9CDYGH	A Healing Tea	A friend sent me two boxes of this for Christmas.  I thought it an odd gift, as I can just go out and buy herbal tea.  Shortly thereafter, I was flung into major stress and chaos during an extreme family crisis. I started drinking this tea to help with unexpected stomach pains and it worked!  Not only that, during this time, other family members got physically ill, but I was able to carry on without catching the bug.  Since then, I'm a believer.  I make this as iced tea for daytime and drink a cup at night before bed.	0	0
-1	B0014ZMY7W	AGZVJ9FO3TZPN	Not exactly as pictured	I ordered the basket based on the picture that showed the Keebler branded packages of cookies but when it arrived it was the Murray's sugar free cookies instead (the Rugers cookies were also in the basket as described). I contacted the seller who told me that they are made by the same company. However, I was looking for something different and if the photo had shown the Murray's packaging I would not have purchased it.	0	0
-1	B006N3IG4K	A315FCBNG3XRND	Disappointed	Vanilla flavor is barely noticeable.  Acidic taste, not at all what I expected.  Breakfast in Bed and Hawaiian Hazelnut are much better choices.	0	0
-1	B001LG945O	A27UE9HJRZ22YI	I had high hopes, am a bit disappointed	Pros: not overly sweet like some juice drinks<br />  no caffeine<br />  no corn sweeteners (if that matters to you)<br />Cons:  expensive for the size (8.3 ounces)<br />  can't taste the orange or tangerine juices in it<br />  lots of calories<br /><br />I grew up eating oranges and tangerines off my grandparents' trees.  I was surprised that I couldn't taste those flavors in this drink, but then I looked at the ingredient list on the can and those were the juices that were used in the smallest amounts - probably to keep the cost down.<br /><br />I'll stick to the Sobe low-cal drinks and the 10 calorie Vitamin Water because 1 - they are cheaper and  2 - I'd rather save up my daily allotment of calories for something with more flavor.	2	2
